Date,User,Message
2020-09-05 18:05:01,"고라니상🦌","하하"
2020-09-05 18:05:04,"고라니상🦌","드디어 위집에"
2020-09-05 18:05:07,"고라니상🦌","우리집에"
2020-09-05 18:05:10,"고라니상🦌","와이파이를 깔았다"
2020-09-05 18:05:18,"고라니상🦌","별 거 아닌데"
2020-09-05 18:05:21,"고라니상🦌","조금 행복하내"
2020-09-05 18:05:30,"지윤","큰 일했네"
2020-09-05 18:05:34,"지윤","지난번에 하려던 곳에서"
2020-09-05 18:05:35,"지윤","한거야?"
2020-09-05 18:05:56,"고라니상🦌","걍kt에서"
2020-09-05 18:06:01,"고라니상🦌","응응,,"
2020-09-05 18:06:05,"지윤","서윗 다히하우스"
2020-09-05 18:06:08,"지윤","이제 인터넷까지완비"
2020-09-05 18:06:11,"고라니상🦌","존나 호갱당한 거 같지만"
2020-09-05 18:06:14,"고라니상🦌","머.."
2020-09-05 18:06:17,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ머..."
2020-09-05 18:06:19,"지윤","그런거지"
2020-09-05 18:06:20,"지윤","ㅎㅎㅎㅎ"
2020-09-05 18:06:21,"고라니상🦌","뒤돌아보지 않겠어"
2020-09-05 18:06:27,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 18:06:29,"지윤","고럼고럼"
2020-09-05 18:06:34,"고라니상🦌","더 자주 놀러오세요.."
2020-09-05 18:06:42,"지윤","에어컨/wifi 완비"
2020-09-05 18:07:21,"고라니상🦌","금일 코로나 168명인데"
2020-09-05 18:07:33,"지윤","오 그래도 또 빠르게 200 아래로 떨어졌네"
2020-09-05 18:07:35,"고라니상🦌","이 상태로는 금방 풀리지 않을까"
2020-09-05 18:07:38,"고라니상🦌","아닐까"
2020-09-05 18:07:42,"고라니상🦌","허허,,"
2020-09-05 18:07:44,"지윤","근데 사람이 진짜 간사한게"
2020-09-05 18:07:48,"지윤","오 200미만림"
2020-09-05 18:07:50,"지윤","개꿀"
2020-09-05 18:07:57,"지윤","하고 다같이 기어나가면"
2020-09-05 18:08:04,"고라니상🦌","ㄴㄴ그런 생각하는 사람들은"
2020-09-05 18:08:06,"지윤","다시 200 순시간에 넘을 듯"
2020-09-05 18:08:12,"고라니상🦌","애초에 사회적 거리두기를 안해"
2020-09-05 18:08:17,"지윤","ㅎㅎ....."
2020-09-05 18:08:19,"고라니상🦌","사회적 거리두기 안하는 사람"
2020-09-05 18:08:21,"고라니상🦌","존나 많아"
2020-09-05 18:08:23,"지윤","허를 찌르는"
2020-09-05 18:08:25,"지윤","ㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 18:08:27,"고라니상🦌","우리가 트위터 해서"
2020-09-05 18:08:36,"고라니상🦌","모든 사람들 다 사회적 거리두기 하는 줄 알아"
2020-09-05 18:08:40,"지윤","또 이렇게 트위터인임을 증명하고"
2020-09-05 18:09:07,"고라니상🦌","그래도 오프 때마다"
2020-09-05 18:09:18,"고라니상🦌","아무것도 안해서"
2020-09-05 18:09:20,"고라니상🦌","적적해"
2020-09-05 18:09:30,"지윤","ㅠ....."
2020-09-05 18:09:35,"지윤","똑땅"
2020-09-05 22:38:58,"고라니상🦌","사진"
2020-09-05 22:39:03,"고라니상🦌","이거 볼 때마다"
2020-09-05 22:39:09,"고라니상🦌","안드레스 곤잘레스씨"
2020-09-05 22:39:12,"고라니상🦌","떠올라서"
2020-09-05 22:39:15,"고라니상🦌","못 사"
2020-09-05 22:40:41,"이세상힙스터🎈","아"
2020-09-05 22:40:41,"이세상힙스터🎈","미친"
2020-09-05 22:40:44,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:41:21,"이세상힙스터🎈","곤잘레스 입고"
2020-09-05 22:41:24,"이세상힙스터🎈","곤잘레스만나기.."
2020-09-05 22:41:45,"고라니상🦌","와 나 그거"
2020-09-05 22:41:51,"고라니상🦌","입앞 까지 나왔다가"
2020-09-05 22:41:56,"고라니상🦌","다시 넣었는데"
2020-09-05 22:41:58,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:42:37,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:42:45,"이세상힙스터🎈","이모티콘"
2020-09-05 22:42:55,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:43:06,"고라니상🦌","토미랑 1년 선물로"
2020-09-05 22:43:08,"고라니상🦌","간단하게"
2020-09-05 22:43:18,"고라니상🦌","^커플^ 후드집업"
2020-09-05 22:43:21,"고라니상🦌","사려고 하는데"
2020-09-05 22:43:29,"고라니상🦌","오다가다 귀여운 후드집업 있으며"
2020-09-05 22:43:33,"고라니상🦌","추천해주십쇼"
2020-09-05 22:43:49,"고라니상🦌","사진 2장"
2020-09-05 22:44:02,"고라니상🦌","난 얘가 이럴 때마다 좀 짠하다"
2020-09-05 22:47:02,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:47:04,"이세상힙스터🎈","아"
2020-09-05 22:47:05,"이세상힙스터🎈","마친"
2020-09-05 22:47:11,"이세상힙스터🎈","미친"
2020-09-05 22:47:20,"이세상힙스터🎈","토미 혼자서왤케 잘놀아.."
2020-09-05 22:47:54,"지윤","곤잘레스가 곤잘레스한 죄"
2020-09-05 22:47:55,"지윤","ㅋㅋㅋ"
2020-09-05 22:48:06,"지윤","토미"
2020-09-05 22:48:10,"지윤","한국인같이"
2020-09-05 22:49:37,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:49:42,"이세상힙스터🎈","짠한거••"
2020-09-05 22:49:55,"이세상힙스터🎈","락다운놈.."
2020-09-05 22:50:22,"이세상힙스터🎈","토미는 확실히"
2020-09-05 22:50:54,"이세상힙스터🎈","머랄까 말 많이하는 틱톡"
2020-09-05 22:51:00,"이세상힙스터🎈","좋아하는것같은대"
2020-09-05 22:51:13,"이세상힙스터🎈","그런거 보낼때마다 못알아들어서 슬퍼짐.."
2020-09-05 22:51:22,"지윤","ㅋㅋㅋ"
2020-09-05 22:51:27,"이세상힙스터🎈","저는 카디비가 춤추는 따위만 봅니다.."
2020-09-05 22:51:28,"지윤","자막도 ㅁ붙여보내줘"
2020-09-05 22:51:36,"지윤","말없이 빵댕이 흔드는"
2020-09-05 22:51:43,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:51:48,"고라니상🦌","나 카디비 영상 좋아해"
2020-09-05 22:51:51,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:51:55,"지윤","아 내일은 좀 건설적으로 살아야지 콘텐츠 팡인 존나"
2020-09-05 22:52:00,"고라니상🦌","가끔 토미한테 보내거든"
2020-09-05 22:52:09,"지윤","눈이너무 아파서 게슴츠레 뜨고있어"
2020-09-05 22:52:13,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:52:17,"고라니상🦌","남자들은 doggy 포지션할 때 빨리싼다고"
2020-09-05 22:52:20,"지윤","카디비 말하는것도 웃김"
2020-09-05 22:52:22,"고라니상🦌","카디비가 그러길래"
2020-09-05 22:52:22,"지윤","ㅁㅊ"
2020-09-05 22:52:24,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:52:25,"고라니상🦌","토미한테"
2020-09-05 22:52:26,"이세상힙스터🎈","ㅁㅊㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:52:30,"고라니상🦌","만국공용인가버ㅏ"
2020-09-05 22:52:35,"고라니상🦌","아 너 미국인이디"
2020-09-05 22:52:42,"고라니상🦌","ㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:52:42,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋ돌았"
2020-09-05 22:52:44,"지윤","ㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:52:49,"고라니상🦌","이러니까"
2020-09-05 22:52:55,"고라니상🦌","doggy 자세에서는"
2020-09-05 22:52:57,"지윤","도기할때 더 빨리싸나 ...? 🤔"
2020-09-05 22:53:02,"고라니상🦌","dog의 시간이 흐르기 때문에"
2020-09-05 22:53:09,"지윤","미쳤어 ㅋㅋㅋㅋ"
2020-09-05 22:53:12,"고라니상🦌","5븐 하면 30분 한고랑"
2020-09-05 22:53:14,"고라니상🦌","똑같다고"
2020-09-05 22:53:16,"고라니상🦌","ㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:53:20,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:53:24,"고라니상🦌","훨씬빨리 싸는 거 같던데"
2020-09-05 22:53:39,"고라니상🦌","카디비는 클래식하지만"
2020-09-05 22:53:46,"이세상힙스터🎈","도기 자세가"
2020-09-05 22:53:51,"이세상힙스터🎈","그 트월킹"
2020-09-05 22:53:53,"고라니상🦌","정자세를 젛아해서"
2020-09-05 22:54:01,"이세상힙스터🎈","춤추는 그자세인가??"
2020-09-05 22:54:03,"지윤","후배위"
2020-09-05 22:54:14,"지윤","트월킹 잘하면 여성상위 잘하겠지"
2020-09-05 22:54:17,"고라니상🦌","그거 몇 번 해주고 자기 만족이 끝나면 도기자세 하게 해준다고"
2020-09-05 22:54:26,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:54:28,"지윤","퀸이네"
2020-09-05 22:54:28,"고라니상🦌","트월킹 잘리면 후배위도 잘해"
2020-09-05 22:54:29,"지윤","ㅋㅋ"
2020-09-05 22:54:35,"지윤","도기로 빨리가면"
2020-09-05 22:54:43,"지윤","묘하게 빡치는게"
2020-09-05 22:54:50,"지윤","얼굴 안보여서 그런가?"
2020-09-05 22:54:55,"지윤","하게되서 현타옴"
2020-09-05 22:54:56,"고라니상🦌","https://twitter.com/coolkids1994/status/1301045763934306304?s=12"
2020-09-05 22:54:56,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:55:00,"지윤","물론 좋아는 합니다만"
2020-09-05 22:55:04,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:57:28,"지윤","니거 스맬 댯 쓋"
2020-09-05 22:57:29,"지윤","ㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:57:37,"지윤","이츠섬머 비치"
2020-09-05 22:57:39,"지윤","왤케웃기냐"
2020-09-05 22:57:41,"지윤","ㅋㅋㅋㅋㅋ"
2020-09-05 22:57:44,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:57:46,"이세상힙스터🎈","이언니진짜"
2020-09-05 22:57:49,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 22:57:52,"고라니상🦌","막 카디ㅣ비가 좋은거누아닌데"
2020-09-05 22:57:52,"지윤","성역이없네"
2020-09-05 22:57:57,"고라니상🦌","나오는 영상은다봄"
2020-09-05 23:03:52,"이세상힙스터🎈","나 그"
2020-09-05 23:03:54,"이세상힙스터🎈","쨈쮜씻으라는"
2020-09-05 23:04:00,"이세상힙스터🎈","영상보고 기절했잔아"
2020-09-05 23:04:04,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 23:08:34,"지윤","엌ㅋㅋ나도 그거봄"
2020-09-05 23:21:48,"이세상힙스터🎈","샵검색: #카디비"
2020-09-05 23:21:52,"이세상힙스터🎈","휴 카디비 진짜"
2020-09-05 23:21:57,"이세상힙스터🎈","언니엿어,,"
2020-09-05 23:22:28,"이세상힙스터🎈","애들아 어몽어스 해봣니?"
2020-09-05 23:31:15,"지윤","모야그게"
2020-09-05 23:31:26,"지윤","샵검색: #어몽어스"
2020-09-05 23:31:30,"지윤","게임?"
2020-09-05 23:57:46,"이세상힙스터🎈","아"
2020-09-05 23:57:54,"이세상힙스터🎈","트위터에서 핫하던데"
2020-09-05 23:58:26,"이세상힙스터🎈","ㅋㅋㅋㅋㅋㅋ"
2020-09-05 23:58:37,"이세상힙스터🎈","제 탐라에서만 핫한가봐요 후후"
2020-09-06 00:52:54,"이세상힙스터🎈","사진"
2020-09-06 00:53:06,"이세상힙스터🎈","ㅇㅒ 진짜 잘생겻다,,,,,,,,,"
2020-09-06 05:35:11,"고라니상🦌","류도현 하던데"
2020-09-06 06:09:07,"고라니상🦌","http://egosan.com/menu_02_1.html"
2020-09-06 06:09:07,"고라니상🦌","해보삼"
2020-09-06 09:48:57,"이세상힙스터🎈","사진"
2020-09-06 09:49:06,"이세상힙스터🎈","사이트 원래이래??"
2020-09-06 09:49:11,"이세상힙스터🎈","어흑 궁금한데"
2020-09-06 09:50:07,"고라니상🦌","잉"
2020-09-06 09:50:11,"고라니상🦌","왜 그그러지"
2020-09-06 09:50:22,"고라니상🦌","http://egosan.com/menu_02_1.html"
2020-09-06 09:50:35,"고라니상🦌","나한테 보내면"
2020-09-06 09:50:41,"고라니상🦌","생년월일 시간"
2020-09-06 09:50:44,"고라니상🦌","해줄게"
2020-09-06 10:05:48,"이세상힙스터🎈","1994/11/29 07:45 임니다 헠헠"
2020-09-06 10:06:10,"이세상힙스터🎈","사진"
2020-09-06 10:06:14,"이세상힙스터🎈","와진짜 코로나대문에"
2020-09-06 10:06:23,"이세상힙스터🎈","클럽이런곳이 타격이 엄청난가보다"
2020-09-06 10:06:50,"이세상힙스터🎈","명월관도 그렇고 텀블벅 보는데 케익샵에서 펀딩받내••"
2020-09-06 10:08:08,"지윤",",,,,,코로나 진짜"
2020-09-06 10:09:20,"이세상힙스터🎈","사진"
2020-09-06 10:09:27,"이세상힙스터🎈","전이런걸 신청해보앗습니다••후후후"
2020-09-06 10:12:41,"지윤","마자맞 이거 어제 타위터에서 봤어"
2020-09-06 10:18:00,"이세상힙스터🎈","기사가 좀"
2020-09-06 10:18:13,"이세상힙스터🎈","읽고 놀랏다고 해야하나"
2020-09-06 10:29:00,"고잉섹시호🐏","어몽어스 내 탐라에서도 핫해"
2020-09-06 10:29:02,"고잉섹시호🐏","해봣오?"
2020-09-06 10:43:51,"이세상힙스터🎈","아니•• 어제 밤에 해보려고 햇는데"
2020-09-06 10:43:57,"이세상힙스터🎈","자버렷"
2020-09-06 10:44:01,"이세상힙스터🎈","ㅠ"
2020-09-06 10:48:37,"고잉섹시호🐏","저런"
2020-09-06 10:48:43,"고잉섹시호🐏","하고나면 후기 알려조세요"
2020-09-06 11:06:32,"고라니상🦌","이거는 언니"
2020-09-06 11:06:54,"지윤","나도해조"
2020-09-06 11:06:56,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋ"
2020-09-06 11:06:59,"고라니상🦌","사진"
2020-09-06 11:07:01,"지윤","나도 저렇겎떠"
2020-09-06 11:17:11,"고잉섹시호🐏","이래 뭐여"
2020-09-06 11:17:40,"고라니상🦌","너도 생년월일시간"
2020-09-06 11:17:43,"고라니상🦌","알려줘"
2020-09-06 11:18:05,"고잉섹시호🐏","사진"
2020-09-06 11:18:08,"고잉섹시호🐏","안 떠..."
2020-09-06 11:18:19,"고잉섹시호🐏","1995 08 31 10시"
2020-09-06 11:20:36,"고라니상🦌","딱 10시??"
2020-09-06 11:20:47,"지윤","1995.05.24 오후1시30분"
2020-09-06 11:22:49,"고잉섹시호🐏","엉"
2020-09-06 11:22:52,"고잉섹시호🐏","오전 열시"
2020-09-06 11:25:11,"고라니상🦌","사진"
2020-09-06 11:25:14,"고라니상🦌","지윤"
2020-09-06 11:26:07,"고라니상🦌","나도 니거는 안뜬다 얘.."
2020-09-06 11:26:17,"지윤","유듼.."
2020-09-06 11:26:52,"고잉섹시호🐏","••••"
2020-09-06 11:28:29,"고라니상🦌","사진"
2020-09-06 11:28:31,"고라니상🦌","이거는 나"
2020-09-06 11:29:18,"지윤","여기는 그동안 봤던거랑 좀 다르네?"
2020-09-06 11:30:16,"고라니상🦌","여기는"
2020-09-06 11:30:20,"고라니상🦌","명리학이 아니라"
2020-09-06 11:30:23,"고라니상🦌","도교에 의거한"
2020-09-06 11:30:25,"고라니상🦌","어쩌구래"
2020-09-06 11:30:34,"지윤","오....도교"
2020-09-06 11:31:39,"고잉섹시호🐏","와"
2020-09-06 11:31:41,"고잉섹시호🐏","박지윤이랑"
2020-09-06 11:31:43,"고잉섹시호🐏","류다희"
2020-09-06 11:31:47,"고잉섹시호🐏","이렇게 다를 수 있냐"
2020-09-06 11:31:49,"고잉섹시호🐏","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-06 11:31:51,"고잉섹시호🐏","젼나 웃겨"
2020-09-06 11:33:11,"지윤","왜 유듼꺼 안나와 흨흨"
2020-09-06 11:33:34,"고잉섹시호🐏","개웃겨 우리"
2020-09-06 11:33:36,"고잉섹시호🐏","사업하면"
2020-09-06 11:33:45,"고라니상🦌","사진"
2020-09-06 11:33:45,"고라니상🦌","이게 나야"
2020-09-06 11:33:45,"고잉섹시호🐏","지윤이랑 송의엉니가 전반적인 부분"
2020-09-06 11:33:47,"고잉섹시호🐏","담당하고"
2020-09-06 11:33:48,"고라니상🦌","잘못보냄"
2020-09-06 11:33:50,"고라니상🦌","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-06 11:33:54,"고잉섹시호🐏","류다희 바지사장하면"
2020-09-06 11:33:55,"고잉섹시호🐏","될 듯"
2020-09-06 11:34:24,"고잉섹시호🐏","그래도 비슷한디?"
2020-09-06 11:34:35,"지윤","뒤에보낸게 좀 더 비슷한데"
2020-09-06 11:34:37,"지윤","사주 볼 때는"
2020-09-06 11:34:45,"지윤","다희 사업가도 나오지랂았어?"
2020-09-06 11:34:54,"고라니상🦌","ㄴㅋ"
2020-09-06 11:34:54,"지윤","나는 사주에서는 사업 ㄴ ㄴ 많이 나옴 ㅋㅋㅋㅋㅋ"
2020-09-06 11:34:56,"고라니상🦌","ㄴㄴ"
2020-09-06 11:35:03,"고라니상🦌","나는 사업 나온적 없었어"
