Date,User,Message
2020-09-05 14:48:38,"0901 개불","사진"
2020-09-05 14:48:56,"지윤","차 색상 예쁘네"
2020-09-05 14:48:57,"지윤","ㅋㅋㅋㅋ"
2020-09-05 14:49:23,"Mormon Buddhist 🧎🏻‍♀","캬 포르쉐 차주님"
2020-09-05 14:52:58,"0414 불돗개 🐕","ㅋㅋㅋㅋㅋㅋㅋㅋ오"
2020-09-05 14:53:15,"0414 불돗개 🐕","포르쉐 품절나서 페라리로 받았대"
2020-09-05 14:53:20,"0414 불돗개 🐕","구동 됨?"
2020-09-05 14:53:36,"Mormon Buddhist 🧎🏻‍♀","아 그렇네 저건 페라리구나"
2020-09-05 14:53:42,"Mormon Buddhist 🧎🏻‍♀","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 14:53:47,"Mormon Buddhist 🧎🏻‍♀","워너비에요 차차님"
2020-09-05 14:54:10,"0414 불돗개 🐕","미린아"
2020-09-05 14:54:16,"0414 불돗개 🐕","그래서 샌드위치야 핫도그야"
2020-09-05 14:54:51,"0414 불돗개 🐕","아까 인스타에서 본거같은데"
2020-09-05 14:54:56,"0414 불돗개 🐕","꿈꿨나 내가"
2020-09-05 15:03:08,"0901 개불","나갈일이 있어서 일단 언박싱만 했슴다"
2020-09-05 15:29:06,"0414 불돗개 🐕","여러분의 애플워치는 뭐여요?"
2020-09-05 15:29:30,"0901 개불","애플워치?"
2020-09-05 15:29:33,"0901 개불","기종?"
2020-09-05 15:33:54,"0414 불돗개 🐕","ㅇㅇ"
2020-09-05 15:35:29,"1021 애플하수인📲","나는 옛날꼬야"
2020-09-05 15:35:33,"1021 애플하수인📲","시리즈2일걸"
2020-09-05 15:35:36,"1021 애플하수인📲","아직 쓸만함"
2020-09-05 15:37:21,"0901 개불","나는 4 gps 모델"
2020-09-05 15:37:56,"0414 불돗개 🐕","지금 애플사이트에서 파는게 3하고 5 보이는데 가격차이 덜덜이네"
2020-09-05 15:41:40,"0901 개불","신품 살거면 3사도 전혀 상관없음"
2020-09-05 15:41:53,"0901 개불","디자인차이랑 페이스등에서 차이는 좀 있을수있는데"
2020-09-05 15:42:02,"0901 개불","그 가격차이만큼은 아닌거같음"
2020-09-05 15:45:11,"0414 불돗개 🐕","러닝을 내가 이렇게 4개월가까이 꾸준히하게될줄 몰라서 안샀는데"
2020-09-05 15:45:14,"0414 불돗개 🐕","사야겠어"
2020-09-05 15:51:22,"Mormon Buddhist 🧎🏻‍♀","아 그거 미국인들의 무쓸모 논쟁중에 하나인데 빵 두개 사이에 재료가 있는걸 샌드위치라고 부르면 핫도그도 샌드위치라고 불러야 하는거 아니냐는...."
2020-09-05 15:51:26,"Mormon Buddhist 🧎🏻‍♀","그런 찬반논쟁이야...."
2020-09-05 15:51:35,"Mormon Buddhist 🧎🏻‍♀","옛날에 몰몬교 애들도 나한테 엄청 물어봤던........"
2020-09-05 15:51:36,"Mormon Buddhist 🧎🏻‍♀","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 15:51:57,"Mormon Buddhist 🧎🏻‍♀","그래서 한국인은 그딴거 관심없고 맛있으면 그만이다 바빠서 입에 집어넣고 일하러간다고 했더니"
2020-09-05 15:52:10,"Mormon Buddhist 🧎🏻‍♀","시무룩해져서 친구들한테 인스타 스토리로 물어보라고 해서 올려줌....후"
2020-09-05 15:52:41,"Mormon Buddhist 🧎🏻‍♀","한국인들은 놀라울만큼 아무도 그 질문에 관심없었다.....외국인들만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 15:52:42,"1021 애플하수인📲","세계 이케아에서"
2020-09-05 15:52:46,"1021 애플하수인📲","저거 다 핫도그로 파니까"
2020-09-05 15:52:50,"1021 애플하수인📲","핫도그입니다!!!!"
2020-09-05 15:53:06,"Mormon Buddhist 🧎🏻‍♀","이케아 국룰썰"
2020-09-05 15:53:08,"Mormon Buddhist 🧎🏻‍♀","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-05 15:53:11,"Mormon Buddhist 🧎🏻‍♀","다들 주말인데 뭐해요"
2020-09-05 15:53:23,"Mormon Buddhist 🧎🏻‍♀","여유로운 집콕라이프 즐기고 계신가요"
2020-09-05 15:53:39,"1021 애플하수인📲","이불밖은 위험합니다"
2020-09-05 16:19:54,"0414 불돗개 🐕","난 러닝 안하고 걷는쥬웅"
2020-09-06 20:27:44,"1021 애플하수인📲","사진"
2020-09-06 20:27:59,"1021 애플하수인📲","아는분이 그 레이더 보는곳에서 일하시는데 이거 올렸더라구"
2020-09-06 20:28:03,"1021 애플하수인📲","태풍 다들 조심여~"
2020-09-06 20:29:35,"0414 불돗개 🐕","헉뜨,,,,,,"
2020-09-06 20:29:44,"0414 불돗개 🐕","왜 데이터대로 말 안하지"
2020-09-06 20:30:27,"지윤","헐"
2020-09-06 21:32:21,"0414 불돗개 🐕","사진"
2020-09-06 21:32:26,"0414 불돗개 🐕","드립이 웃기네 ㅜㅜㅜㅜㅜ"
2020-09-06 21:32:53,"지윤","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-06 21:33:26,"1021 애플하수인📲","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-06 21:53:48,"Mormon Buddhist 🧎🏻‍♀","구멍이 여러개지요ㅠ"
2020-09-06 21:53:49,"Mormon Buddhist 🧎🏻‍♀","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2020-09-08 16:42:08,"0414 불돗개 🐕","사진"
2020-09-08 16:42:20,"0414 불돗개 🐕","광고주가 지내 내부에 보낸 메일을 사진으로 찍어서 보내준것의 일부인데"
2020-09-08 16:42:26,"0414 불돗개 🐕","밑에 뭐라고 한걸까"
2020-09-08 16:42:33,"0414 불돗개 🐕","대행사가 요즘 너무 ㅇㅇㅇ이라"
2020-09-08 16:42:35,"0414 불돗개 🐕","같은데?"
